fn	sample_name	id	idz	group	title	author	year	l	num_lines
corpus/Sonnets/Z300540705.txt	Sonnets	english/witherge/Z300540705	Z300540705	1600-1624	8. A SONNET UPON A STOLEN KISS.	Wither, George, 1588-1667	1628	Which waking kept my boldest thoughts in awe,	14
corpus/Sonnets/Z400342313.txt	Sonnets	english/drummond/Z400342313	Z400342313	1600-1624	Son. [xxxvi]  [Who hath not seene into her saffron Bed]	Drummond, William, 1585-1649	1913	The Mornings Goddesse mildly Her repose,	14
corpus/Sonnets/Z200265747.txt	Sonnets	english/aytonrob/Z200265747	Z200265747	1600-1624	23. [Sonnet: On Loss]	Ayton, Robert, Sir, 1570-1632	1963	Loe how the Sailer in a stormy night	14
corpus/Sonnets/Z500342374.txt	Sonnets	english/drummond/Z500342374	Z500342374	1600-1624	[vi]  [What haplesse Hap had I now to bee borne]	Drummond, William, 1585-1649	1913	In these vnhappie Times, and dying Dayes,	14
corpus/Sonnets/Z300342478.txt	Sonnets	english/drummond/Z300342478	Z300342478	1600-1624	[xii]  [For the Magdalene.]	Drummond, William, 1585-1649	1913	Fraile Scoutes betraying what they had to keepe,	14
corpus/Sonnets/Z400340792.txt	Sonnets	english/donnejoh/Z400340792	Z400340792	1600-1624	2 Annvnciation.	Donne, John, 1572-1631	1872	That All, which alwayes is All every where,	15
corpus/Sonnets/Z300272962.txt	Sonnets	english/barnfiel/Z300272962	Z300272962	1600-1624	SONNET. XIII.  [Speake Eccho, tell; how may I call my loue?]	Barnfield, Richard, 1574-1627	1594	Oh happy starts that make your heauens diuine:	14
corpus/Sonnets/Z400342326.txt	Sonnets	english/drummond/Z400342326	Z400342326	1600-1624	Son. [xlv]  [Are these the flowrie Bankes? is this the Mead]	Drummond, William, 1585-1649	1913	Did here her Eyes exhale mine Eyes salt Showrs,	14
corpus/Sonnets/Z300340701.txt	Sonnets	english/donnejoh/Z300340701	Z300340701	1600-1624	TO VISCOUNT DONCASTER,  WITH SIX HOLY SONNETS.	Donne, John, 1572-1631	1872	Begets strange creatures on Nile's durty slime,	14
corpus/Sonnets/Z300342493.txt	Sonnets	english/drummond/Z300342493	Z300342493	1600-1624	[xxi]  [Against Hypocrisie.]	Drummond, William, 1585-1649	1913	But full of Smoke within, which vse to grow	14
corpus/Sonnets/Z200265739.txt	Sonnets	english/aytonrob/Z200265739	Z200265739	1600-1624	15. [Sonnet: On Hope]	Ayton, Robert, Sir, 1570-1632	1963	You hopes, you Bankerouts of tyme and youth,	14
corpus/Sonnets/Z500342375.txt	Sonnets	english/drummond/Z500342375	Z500342375	1600-1624	[vii]  [Thrise happie hee, who by some shadie Groue]	Drummond, William, 1585-1649	1913	Farre from the clamarous World doth liue his owne,	14
corpus/Sonnets/Z300377633.txt	Sonnets	english/gardyneo/Z300377633	Z300377633	1600-1624	Sonet. 1.	Garden, Alexander, 1585?-1634?	1625	Applaud, giue praise, and with the Psalmist sing,	14
corpus/Sonnets/Z300272959.txt	Sonnets	english/barnfiel/Z300272959	Z300272959	1600-1624	SONNET. X.  [Thus was my loue, thus was my Ganymed]	Barnfield, Richard, 1574-1627	1594	(Heauens ioy, worlds wonder, natures fairest work,	14
corpus/Sonnets/Z300544142.txt	Sonnets	english/wrothlad/Z300544142	Z300544142	1600-1624	[When I with trembling aske if you loue still]	Wroth, Mary, Lady, ca. 1586-ca. 1640	1621	My soule afflicted lest I giue offence,	14
corpus/Sonnets/Z400342634.txt	Sonnets	english/drummond/Z400342634	Z400342634	1600-1624	x. Sonnet qu'un poet[e] Italien fit pour vn bracelet de cheveux qui lui auoit estè donnè par sa maistresse.  In frier sort of rime.	Drummond, William, 1585-1649	1913	O haire, faire haire, some of the goldin threeds	14
corpus/Sonnets/Z300272964.txt	Sonnets	english/barnfiel/Z300272964	Z300272964	1600-1624	SONNET. XV.  [A fairest Ganymede, disdaine me not]	Barnfield, Richard, 1574-1627	1594	Though silly Sheepeheard I, presume to loue thee,	14
corpus/Sonnets/Z200392841.txt	Sonnets	english/herberte/Z200392841	Z200392841	1600-1624	Sonnet of Black Beauty.	Herbert of Cherbury, Edward Herbert, Baron, 1583-1648	1665	Whose Power can no colours here renew,	14
corpus/Sonnets/Z200273000.txt	Sonnets	english/barnfiel/Z200273000	Z200273000	1600-1624	Sonnet. V.  [Amend thy stile who can: who can amend thy stile?]	Barnfield, Richard, 1574-1627	1594	For sweet conceit.	37
corpus/Sonnets/Z300440687.txt	Sonnets	english/miscell3/Z300440687	Z300440687	1600-1624	LXIII TO HIS LUTE	Drummond, William, 1585-1649	1888	My lute, be as thou wert when thou didst grow	15
corpus/Sonnets/Z300448580.txt	Sonnets	english/muresirw/Z300448580	Z300448580	1600-1624	Sonnet 3. [Looke home my Soule, deferre not to repent]	Mure, William, Sir, 1594-1657	1898	Looke home my Soule, deferre not to repent,	14
corpus/Sonnets/Z300275512.txt	Sonnets	english/beaujohn/Z300275512	Z300275512	1600-1624	Of the Princes departure and returne.	Beaumont, John, Sir, 1583-1627	1629	The Sunne desires his absence to supply:	14
corpus/Sonnets/Z200272997.txt	Sonnets	english/barnfiel/Z200272997	Z200272997	1600-1624	Sonnet, II.  [Fortune, hates not, them that hate her]	Barnfield, Richard, 1574-1627	1594	It is but for a little while.	18
corpus/Sonnets/Z400340797.txt	Sonnets	english/donnejoh/Z400340797	Z400340797	1600-1624	7 Ascention.	Donne, John, 1572-1631	1872	Joy at the uprising of this Sunne, and Sonne,	15
corpus/Sonnets/Z200340859.txt	Sonnets	english/donnejoh/Z200340859	Z200340859	1600-1624	To E. of D. with six holy Sonnets.	Donne, John, 1572-1631	1872	Begets strange creatures on Niles durty slime,	14
corpus/Sonnets/Z400342317.txt	Sonnets	english/drummond/Z400342317	Z400342317	1600-1624	Son. [xxxix]  [Slide soft faire Forth, and make a christall Plaine]	Drummond, William, 1585-1649	1913	Cut your white Lockes, and on your foamie Face	14
corpus/Sonnets/Z300342476.txt	Sonnets	english/drummond/Z300342476	Z300342476	1600-1624	[x]  [Amazement at the Incarnation of God.]	Drummond, William, 1585-1649	1913	And make it twinkle with those spangs of Gold,	14
corpus/NotSonnets/Z300287326.txt	NotSonnets	english/brathwai/Z300287326	Z300287326	1600-1624	Upon the Generall Sciolists or Poettasters of Britannie.  A Satyre.	Brathwait, Richard, 1588?-1673	1634	At any time a greater need of thee.	587
corpus/NotSonnets/Z300406192.txt	NotSonnets	english/jonsonbe/Z300406192	Z300406192	1600-1624	Another to him.  [The Judge his favour timely then extends]	Jonson, Ben, 1573?-1637	1631	When a good Cause is destitute of friends,	16
corpus/NotSonnets/Z200539987.txt	NotSonnets	english/witherge/Z200539987	Z200539987	1600-1624	Hymn XXX. For a Laie&hyphen;man.	Wither, George, 1588-1667	1628	Am I obliged, LORD,	48
corpus/NotSonnets/Z200515138.txt	NotSonnets	english/tw/Z200515138	Z200515138	1600-1624	Sonnet. LVIII.   [VVhen as I marke the ioy of euery wight]	T. W., fl. 1593-1603	1603	Howe in their mindes deepe throbbing sorrow ceaseth	14
corpus/NotSonnets/Z200390257.txt	NotSonnets	english/hc/Z200390257	Z200390257	1600-1624	A louer hauing long concealed his loue, at the last reuealeth it and craueth grace at the handes of his beloued mistresse.	H. C., fl. 1579	1579	That feeles himself distrest,	56
corpus/NotSonnets/Z300342209.txt	NotSonnets	english/dranttho/Z300342209	Z300342209	1600-1624	The seuenth Satyre.	Drant, Thomas, d. 1578?	1568	that traytor mungrill king,	76
corpus/NotSonnets/Z300381954.txt	NotSonnets	english/grangejo/Z300381954	Z300381954	1600-1624	An answere to a letter written vnto him by a Curtyzan.	Grange, John, fl. 1577	1577	my letters are become,	85
corpus/NotSonnets/Z300504935.txt	NotSonnets	english/taylorjo/Z300504935	Z300504935	1600-1624	[Inuention many thousand wayes could go]	Taylor, John, 1580-1653	1630	To shew their variations to and fro:	48
corpus/NotSonnets/Z200389419.txt	NotSonnets	english/haymanro/Z200389419	Z200389419	1600-1624	To the Louers of the Muses, vpon these Quodlibets.	Wither, George, 1588-1667	[before 1634]	Behold, e'en from these vncouth shores, among	16
corpus/NotSonnets/Z300287224.txt	NotSonnets	english/brathwai/Z300287224	Z300287224	1600-1624	Psal. 81. Exultate Deo.  Ad Præstantem, super Gittith, Asaphi.	Brathwait, Richard, 1588?-1673	1634	in triumph let us sing:	64
corpus/NotSonnets/Z200515110.txt	NotSonnets	english/tw/Z200515110	Z200515110	1600-1624	Sonnet. 30.  [About the well which from mine eies did flow]	T. W., fl. 1593-1603	1603	The woefull witnes of harts desolation:	14
corpus/NotSonnets/Z300540340.txt	NotSonnets	english/witherge/Z300540340	Z300540340	1600-1624	A Concluding Epigram.	Wither, George, 1588-1667	1628	What ever happens, I no question make	47
corpus/NotSonnets/Z500287007.txt	NotSonnets	english/brathwai/Z500287007	Z500287007	1600-1624	THE NINTH SATYRE. [OF BEGGARIE.]	Brathwait, Richard, 1588?-1673	1634	Your stockings too, and such like toyes as these,	132
corpus/NotSonnets/Z200340867.txt	NotSonnets	english/donnejoh/Z200340867	Z200340867	1600-1624	ECCLOGUE.  [Vnseasonable man, statue of ice]	Donne, John, 1572-1631	1872	What could to countries solitude entice	107
corpus/NotSonnets/Z300288587.txt	NotSonnets	english/brownewi/Z300288587	Z300288587	1600-1624	The Fifth Eglogve.	Browne, William, 1590-ca. 1645	1868	Things of a higher fame	140
corpus/NotSonnets/Z200476288.txt	NotSonnets	english/rogersth/Z200476288	Z200476288	1600-1624	Of the Starre which the Magi did worship at Christes Natiuitie, and of his death.	Rogers, Thomas, 1573 or 4-1609 or 10	1598	But the true figure of eternall life,	14
corpus/NotSonnets/Z200540803.txt	NotSonnets	english/witherge/Z200540803	Z200540803	1600-1624	Psa. 67.	Wither, George, 1588-1667 (trans.) / Psalms of David (orig.)	1628	That, all the world, thy waies may knowe,	16
corpus/NotSonnets/Z300342523.txt	NotSonnets	english/drummond/Z300342523	Z300342523	1600-1624	A Pastorall Elegie on the Death of S. A[ntonye] A[lexander.]	Drummond, William, 1585-1649	1913	The Shepheards mourn'd as they him lov'd before:	138
corpus/NotSonnets/Z200410502.txt	NotSonnets	english/kinghenr/Z200410502	Z200410502	1600-1624	Psal. XCIV.	King, Henry, 1592-1669 (trans.) / Psalms of David (orig.)	1648	Now let Thy vengeance wake.	64
corpus/NotSonnets/Z200479958.txt	NotSonnets	english/rowlands/Z200479958	Z200479958	1600-1624	A Roaring Boyes Description.	Rowlands, Samuel, 1570?-1630?	1603	That in the world like fiends incarnate rage,	52
corpus/NotSonnets/Z200394548.txt	NotSonnets	english/herrickr/Z200394548	Z200394548	1600-1624	To his angrie God.	Herrick, Robert, 1591-1674	1915	Through all the night	24
corpus/NotSonnets/Z400342767.txt	NotSonnets	english/drummond/Z400342767	Z400342767	1600-1624	iv.  Hymn upon the Nativity.	Drummond, William, 1585-1649	1913	Christ, whose Redemption all doth free,	28
corpus/NotSonnets/Z300396631.txt	NotSonnets	english/higginsj/Z300396631	Z300396631	1600-1624	[CAIUS CAESAR CALIGULA]	Higgins, John, fl. 1570-1602	1946	To see how soone there vices ping them vnder,	54
corpus/NotSonnets/Z200410534.txt	NotSonnets	english/kinghenr/Z200410534	Z200410534	1600-1624	Psal. CXVI.	King, Henry, 1592-1669 (trans.) / Psalms of David (orig.)	1648	He hath me heard, and eas'd.	56
corpus/NotSonnets/Z200479656.txt	NotSonnets	english/rowlands/Z200479656	Z200479656	1600-1624	Epigram.  [One of these Cuccold&hyphen;making Queanes]	Rowlands, Samuel, 1570?-1630?	1603	did graft her husbands head:	16
corpus/NotSonnets/Z200287425.txt	NotSonnets	english/brathwai/Z200287425	Z200287425	1600-1624	A GRIEFE: PERSONATED IN THE AVTHOR, AND Dedicated to Time, of whom hee Borrowes the Subiect of his Passion.	Brathwait, Richard, 1588?-1673	1634	That cheares our drowping spirits with delight;	430
corpus/NotSonnets/Z200320701.txt	NotSonnets	english/corbettr/Z200320701	Z200320701	1600-1624	A CERTAINE POEME  As it was presented in Latine by Divines and Others, before his Maiestye in Cambridge, by way of enterlude, stiled, Liber novus de adventu Regis ad Cantabrigiam, faithfully done into English, with Some liberall additions.	Corbett, Richard, 1582-1635	1647	And vented hath a studyed Toy,	156
corpus/NotSonnets/Z200540827.txt	NotSonnets	english/witherge/Z200540827	Z200540827	1600-1624	Psa. 90.	Wither, George, 1588-1667 (trans.) / Psalms of David (orig.)	1628	Before the world, beginning had	40
corpus/NotSonnets/Z200479403.txt	NotSonnets	english/rowlands/Z200479403	Z200479403	1600-1624	Aue Cæsar.	Rowlands, Samuel, 1570?-1630?	1603	That late welny had drownd the world with raine:	60
corpus/NotSonnets/Z200410346.txt	NotSonnets	english/kinghenr/Z200410346	Z200410346	1600-1624	Madam Gabrina,  Or the Ill&hyphen;favourd Choice.	King, Henry, 1592-1669	1648	Con mala Muger el remedio	46
corpus/NotSonnets/Z300287185.txt	NotSonnets	english/brathwai/Z300287185	Z300287185	1600-1624	Psal. 43. Judica me, Deus.	Brathwait, Richard, 1588?-1673	1634	against a perverse land:	20
corpus/NotSonnets/Z200478711.txt	NotSonnets	english/rousfran/Z200478711	Z200478711	1600-1624	PSAL. XXXI.	Rous, Francis, 1579-1659 (trans.) / Psalms of David (orig.)	1650	sham'd let me never be:	96
corpus/NotSonnets/Z300342223.txt	NotSonnets	english/dranttho/Z300342223	Z300342223	1600-1624	The sixte Satyre.	Drant, Thomas, d. 1578?	1568	an hansum roume of grounde,	251
corpus/NotSonnets/Z200479920.txt	NotSonnets	english/rowlands/Z200479920	Z200479920	1600-1624	The Gull, and the Domineering Constable.	Rowlands, Samuel, 1570?-1630?	1603	Sirs bring the Lanthorne, let me see his face.	22
corpus/NotSonnets/Z200320728.txt	NotSonnets	english/corbettr/Z200320728	Z200320728	1600-1624	Sat[ira] 3. [AGAINST PRIDE, ETC.]	Corbett, Richard, 1582-1635	1647	Dum tendit superos ambire superbia cœlos,	328
corpus/NotSonnets/Z200340843.txt	NotSonnets	english/donnejoh/Z200340843	Z200340843	1600-1624	To S&superr; Henry Wootton.	Donne, John, 1572-1631	1872	That vice doth here habitually dwell.	27
corpus/NotSonnets/Z400375040.txt	NotSonnets	english/fletchph/Z400375040	Z400375040	1600-1624	To Mr. Jo. Tomkins.	Fletcher, Phineas, 1582-1650	1908	More raps my soul, then when the swelling windes	71
corpus/NotSonnets/Z300342539.txt	NotSonnets	english/drummond/Z300342539	Z300342539	1600-1624	[xvi]  Phræne.	Drummond, William, 1585-1649	1913	For I surcharged am so sore that I not know	14
corpus/NotSonnets/Z300505808.txt	NotSonnets	english/taylorjo/Z300505808	Z300505808	1600-1624	GODS MANIFOLD MERCIES IN THESE MIRACVLOVS DELIVERANCES of our Church of England, from the yeare 1565 vntill this present, 1630. particularly and briefly Described.	Taylor, John, 1580-1653	1565	In thundring manner was to banne and curse:	260
corpus/NotSonnets/Z300540230.txt	NotSonnets	english/witherge/Z300540230	Z300540230	1600-1624	To the ENGLISH.	Wither, George, 1588-1667	1628	Me thinks that vast, and ancient structure, there,	36
corpus/NotSonnets/Z200464446.txt	NotSonnets	english/powellth/Z200464446	Z200464446	1600-1624	LOUES LEPROSIE.	Powell, Thomas, 1572?-1635?	1842	The leprosie yf phisicke bin approued,	326
corpus/NotSonnets/Z400540184.txt	NotSonnets	english/witherge/Z400540184	Z400540184	1600-1624	Eleg. 30  [But oh! when it approach'd th' impaled Court]	Wither, George, 1588-1667	1628	But oh! when it approach'd th' impaled Court,	14
corpus/NotSonnets/Z200340937.txt	NotSonnets	english/donnejoh/Z200340937	Z200340937	1600-1624	Negative love.	Donne, John, 1572-1631	1872	Which on an eye, cheeke, lip, can prey,	18
corpus/NotSonnets/Z300540288.txt	NotSonnets	english/witherge/Z300540288	Z300540288	1600-1624	XI. To them who object it as a fault, that this Author  hath written several Poems, since he resolved to write no more.	Wither, George, 1588-1667	1628	Unfinished, I take it up again:	26
corpus/NotSonnets/Z200479938.txt	NotSonnets	english/rowlands/Z200479938	Z200479938	1600-1624	A mad voyage for old Moones.	Rowlands, Samuel, 1570?-1630?	1603	And therevpon he tell distracted mad,	20
corpus/NotSonnets/Z200265471.txt	NotSonnets	english/aylettro/Z200265471	Z200265471	1600-1624	Meditation 4. Of Courtesie, or Humanity.	Aylett, Robert, 1583-1655?	1638	But nothing more makes for their honouring,	387
corpus/NotSonnets/Z400505242.txt	NotSonnets	english/taylorjo/Z400505242	Z400505242	1600-1624	[Thus Luna's brother lower doth descend]	Taylor, John, 1580-1653	1630	Now winters bitter blasting stormes contend,	14
corpus/NotSonnets/Z500505614.txt	NotSonnets	english/taylorjo/Z500505614	Z500505614	1600-1624	Satyre.	Taylor, John, 1580-1653	1630	A diuing Cutpurse, or a periur'd Slaue,	58
corpus/NotSonnets/Z300340708.txt	NotSonnets	english/donnejoh/Z300340708	Z300340708	1600-1624	LAMENT FOR HIS WIFE.  [Is Death so greate a gamster, that he throwes]	Donne, John, 1572-1631	1872	Still at the fairest? must I ever lose?	86
corpus/NotSonnets/Z300505891.txt	NotSonnets	english/taylorjo/Z300505891	Z300505891	1600-1624	[Concerning of the Crosse my faith is this]	Taylor, John, 1580-1653	1630	Concerning of the Crosse my faith is this	20
corpus/Sonnets/Z200344602.txt	Sonnets	english/ec/Z200344602	Z200344602	1625-1649	SONNET. XXXIII.  [Emaricdulf my Orphan muses mother]	E. C., fl. 1595	1595	Pure map of vertue, Honors onely daughter:	14
corpus/Sonnets/Z200490036.txt	Sonnets	english/smithwil/Z200490036	Z200490036	1625-1649	SONNET 32.  [My fixed faith against obliuion fights]	Smith, William, fl. 1596	1970	My fixed faith against obliuion fights,	14
corpus/Sonnets/Z200383286.txt	Sonnets	english/griffinb/Z200383286	Z200383286	1625-1649	SONNET. IIII.  [Did you sometimes three German brethren see]	Griffin, Bartholomew, d. 1602	1596	Rancor twixt two of them so raging rife,	14
corpus/Sonnets/Z200490035.txt	Sonnets	english/smithwil/Z200490035	Z200490035	1625-1649	SONNET 31.  [These waues no way in hir to sinke can finde]	Smith, William, fl. 1596	1970	These waues no way in hir to sinke can finde	14
corpus/Sonnets/Z200490030.txt	Sonnets	english/smithwil/Z200490030	Z200490030	1625-1649	SONNET 26.  [Though you be faire and beautifull withall]	Smith, William, fl. 1596	1970	Though you be faire and beautifull withall,	14
corpus/Sonnets/Z200383312.txt	Sonnets	english/griffinb/Z200383312	Z200383312	1625-1649	SONNET. XXX.  [Weepe now no more mine eyes, but be you drowned]	Griffin, Bartholomew, d. 1602	1596	In your own teares, so many yeares distilled:	14
corpus/Sonnets/Z200383320.txt	Sonnets	english/griffinb/Z200383320	Z200383320	1625-1649	SONNET. XXXVIII.  [Was neuer eye did see my Mistris face]	Griffin, Bartholomew, d. 1602	1596	Was neuer mind that once did mind her grace,	14
corpus/Sonnets/Z200383344.txt	Sonnets	english/griffinb/Z200383344	Z200383344	1625-1649	SONNET. LXII.  [Most true that I must faire Fidessa loue]	Griffin, Bartholomew, d. 1602	1596	Most true that I doe feele the paines of loue,	14
corpus/Sonnets/Z200383341.txt	Sonnets	english/griffinb/Z200383341	Z200383341	1625-1649	SONNET. LIX.  [Doe I vnto a cruell Tyger pray]	Griffin, Bartholomew, d. 1602	1596	That praies on me as wolfe vpon the Lambes?	14
corpus/Sonnets/Z200490009.txt	Sonnets	english/smithwil/Z200490009	Z200490009	1625-1649	SONNET 5. [You Fawnes and Siluans, when my Chloris brings]	Smith, William, fl. 1596	1970	Hir flocks to water in your pleasant plaines,	14
corpus/Sonnets/Z200383334.txt	Sonnets	english/griffinb/Z200383334	Z200383334	1625-1649	SONNET. LII.  [It is some comfort to the wronged man]	Griffin, Bartholomew, d. 1602	1596	The wronger of iniustice to vpbraide:	14
corpus/Sonnets/Z200344589.txt	Sonnets	english/ec/Z200344589	Z200344589	1625-1649	SONNET. XX.  [That thou art faire exceeding all compare]	E. C., fl. 1595	1595	Witnes thy eyes that gaze vpon thy beautie,	14
corpus/Sonnets/Z200344572.txt	Sonnets	english/ec/Z200344572	Z200344572	1625-1649	SONNET. III.  [Why doe I pleade for mercie vnto thee]	E. C., fl. 1595	1595	When from offence my life & soule are cleere?	14
corpus/Sonnets/Z200383313.txt	Sonnets	english/griffinb/Z200383313	Z200383313	1625-1649	SONNET. XXXI. [Tongue neuer cease to sing Fidessaes praise]	Griffin, Bartholomew, d. 1602	1596	Heart (how euer she deserue) conceaue the best:	14
corpus/Sonnets/Z200383335.txt	Sonnets	english/griffinb/Z200383335	Z200383335	1625-1649	SONNET. LIII.  [I was a king of sweet content at least]	Griffin, Bartholomew, d. 1602	1596	But now from out my kingdome banished:	14
corpus/Sonnets/Z200344584.txt	Sonnets	english/ec/Z200344584	Z200344584	1625-1649	SONNET. XV.  [What meane our Merchants so with eger minds]	E. C., fl. 1595	1595	To plough the seas to finde rich iuels forth?	14
corpus/Sonnets/Z200383331.txt	Sonnets	english/griffinb/Z200383331	Z200383331	1625-1649	SONNET. XLIX.  [My cruell fortunes clowded with a frowne]	Griffin, Bartholomew, d. 1602	1596	Lurke in the bosome of eternall night:	14
corpus/Sonnets/Z200344571.txt	Sonnets	english/ec/Z200344571	Z200344571	1625-1649	SONNET. II.  [Homage to loue, dutie to thee my deare]	E. C., fl. 1595	1595	Deare mistris of my thoughts, Queene of my ioy:	14
corpus/Sonnets/Z200490021.txt	Sonnets	english/smithwil/Z200490021	Z200490021	1625-1649	SONNET 17.  [The perils which Leander tooke in hand]	Smith, William, fl. 1596	1970	When void of feare securely leauing land,	14
corpus/Sonnets/Z200490013.txt	Sonnets	english/smithwil/Z200490013	Z200490013	1625-1649	SONNET 9.  [Vnto the fountaine where faire Diana chaste]	Smith, William, fl. 1596	1970	I droue my flocke that water sweete to taste,	14
corpus/Sonnets/Z200383292.txt	Sonnets	english/griffinb/Z200383292	Z200383292	1625-1649	SONNET. X.  [Clip not sweet loue the wings of my desire]	Griffin, Bartholomew, d. 1602	1596	Although it soare aloft and mount too hie:	14
corpus/Sonnets/Z200344600.txt	Sonnets	english/ec/Z200344600	Z200344600	1625-1649	SONNET. XXXI.  [In tedious volumes I doe not intend]	E. C., fl. 1595	1595	To write my woes, my woes by loue procured,	14
corpus/Sonnets/Z200344585.txt	Sonnets	english/ec/Z200344585	Z200344585	1625-1649	SONNET. XVI.  [Looke when dame Tellus clad in Floras pride]	E. C., fl. 1595	1595	Her summer vaile with faire imbroderie,	14
